apple    яблоко
book     книга
cat      кот
dog      собака
house    дом
car      машина
tree     дерево
water    вода
food     еда
friend   друг
family   семья
love     любовь
sun      солнце
moon     луна
star     звезда
sky      небо
bird     птица
fish     рыба
computer компьютер
phone    телефон
table    стол
chair    стул
window   окно
door     дверь
road     дорога
city     город
country  страна
ocean    океан
river    река
mountain гора
valley   долина
field    поле
flower   цветок
grass    трава
leaf     лист
seed     семя
fruit    фрукт
vegetable овощ
meat     мясо
milk     молоко
bread    хлеб
butter   масло
sugar    сахар
salt     соль
pepper    перец
tea      чай
coffee   кофе
juice    сок
cake     торт
cookie   печенье
chocolate шоколад
ice      лед
snow     снег
rain     дождь
wind     ветер
fire     огонь
light    свет
dark     тьма
happy    счастливый
sad      грустный
angry    сердитый
scared   испуганный
tired    уставший
bored    скучающий
excited  взволнованный
interested заинтересованный
busy      занятый
free      свободный
rich      богатый
poor      бедный
young     молодой
old       старый
strong    сильный
weak      слабый
smart     умный
foolish   глупый
kind      добрый
rude      грубый
brave     смелый
shy       застенчивый
friendly   дружелюбный
honest    честный
sincere   искренний
funny     смешной
serious   серьезный
quiet     тихий
loud      громкий
beautiful красивый
ugly      уродливый
clean     чистый
dirty     грязный
new       новый
old       старый
expensive дорогой
cheap     дешевый
easy      легкий
difficult сложный
fast      быстрый
slow      медленный
